JournalId,PaperId,Rank,Doi,DocType,Genre,IsParatext,PaperTitle,OriginalTitle,BookTitle,Year,Date,OnlineDate,Publisher,ConferenceSeriesId,ConferenceInstanceId,Volume,Issue,FirstPage,LastPage,ReferenceCount,CitationCount,EstimatedCitation,OriginalVenue,FamilyId,FamilyRank,DocSubTypes,OaStatus,BestUrl,BestFreeUrl,BestFreeVersion,DoiLower,CreatedDate,UpdatedDate
162791694,2207148034,21519,10.1093/MSPECIES/SEV008,Journal,journal-article,f,felis nigripes carnivora felidae,Felis nigripes (Carnivora: Felidae),NA,2015,2015-10-23,2015-10-23,American Society of Mammalogists,NA,NA,47,925,78,83,44,4,4,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sev008,https://academic.oup.com/mspecies/article-pdf/47/925/78/8129611/sev008.pdf,publishedVersion,10.1093/mspecies/sev008,NA,2021-11-03 23:47:31.356428
162791694,2345865883,21790,10.1093/MSPECIES/SEW001,Journal,journal-article,f,dasypus hybridus cingulata dasypodidae,Dasypus hybridus (Cingulata: Dasypodidae),NA,2016,2016-05-04,2016-05-04,The Oxford University Press,NA,NA,48,931,10,20,72,9,10,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sew001,https://academic.oup.com/mspecies/article-pdf/48/931/10/7971127/sew001.pdf,publishedVersion,10.1093/mspecies/sew001,NA,2021-11-03 23:47:31.356428
162791694,2740411011,22761,10.1093/MSPECIES/SEX007,Journal,journal-article,f,nyctimene robinsoni chiroptera pteropodidae,Nyctimene robinsoni (Chiroptera: Pteropodidae),NA,2017,2017-07-27,2017-07-27,American Society of Mammalogists,NA,NA,49,949,68,75,25,0,0,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sex007,https://academic.oup.com/mspecies/article-pdf/49/949/68/19297099/sex007.pdf,publishedVersion,10.1093/mspecies/sex007,NA,2021-11-03 23:47:31.356428
162791694,2799416233,21371,10.1093/MSPECIES/SEY003,Journal,journal-article,f,plecotus macrobullaris chiroptera vespertilionidae,Plecotus macrobullaris (Chiroptera: Vespertilionidae),NA,2018,2018-05-09,2018-05-09,Oxford University Press (OUP),NA,NA,50,958,26,33,31,1,1,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sey003,https://academic.oup.com/mspecies/article-pdf/50/958/26/24798747/sey003.pdf,publishedVersion,10.1093/mspecies/sey003,NA,2021-11-03 23:47:31.356428
162791694,2980703513,23894,10.1093/MSPECIES/SEZ013,Journal,journal-article,f,aegialomys galapagoensis rodentia cricetidae,Aegialomys galapagoensis (Rodentia: Cricetidae),NA,2019,2019-10-14,2019-10-14,Oxford Academic,NA,NA,51,981,92,99,27,0,0,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sez013,https://academic.oup.com/mspecies/article-pdf/51/981/92/30140141/sez013.pdf,publishedVersion,10.1093/mspecies/sez013,NA,2021-11-03 23:47:31.356428
162791694,2003781051,20933,10.1644/832.1,Journal,journal-article,f,vulpes corsac carnivora canidae,Vulpes corsac (Carnivora: Canidae),NA,2009,2009-06-01,NA,"The American Society of Mammalogists BioOne 21 Dupont Circle, Ste. 800 Washington, DC 20036",NA,NA,832,832,1,8,48,16,18,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/832.1,https://academic.oup.com/mspecies/article-pdf/doi/10.1644/832.1/24461060/832.pdf,publishedVersion,10.1644/832.1,NA,2021-11-03 23:47:31.356428
162791694,2038740990,22238,10.1644/909,Journal,journal-article,f,cabassous tatouay cingulata dasypodidae,Cabassous tatouay (Cingulata: Dasypodidae),NA,2014,2014-09-11,NA,American Society of Mammologists,NA,NA,46,909,28,32,31,4,4,Mammalian Species,NA,NA,NA,closed,https://doi.org/10.1644/909,NA,NA,10.1644/909,NA,2021-11-03 23:47:31.356428
162791694,2153660520,22904,10.1093/MSPECIES/SEV003,Journal,journal-article,f,acrobates pygmaeus diprotodontia acrobatidae,Acrobates pygmaeus (Diprotodontia: Acrobatidae),NA,2015,2015-07-01,2015-07-06,American Society of Mammalogists,NA,NA,47,920,32,44,140,2,2,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sev003,https://academic.oup.com/mspecies/article-pdf/47/920/32/8129535/sev003.pdf,publishedVersion,10.1093/mspecies/sev003,NA,2021-11-03 23:47:31.356428
162791694,2163619488,22350,10.1644/826.1,Journal,journal-article,f,bassaricyon gabbii carnivora procyonidae,Bassaricyon gabbii (Carnivora: Procyonidae),NA,2009,2009-02-26,NA,"The American Society of Mammalogists BioOne 21 Dupont Circle, Ste. 800 Washington, DC 20036",NA,NA,826,826,1,7,44,6,6,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/826.1,https://academic.oup.com/mspecies/article-pdf/doi/10.1644/826.1/24461034/826.pdf,publishedVersion,10.1644/826.1,NA,2021-11-03 23:47:31.356428
162791694,2171670255,21178,10.1644/917.1,Journal,journal-article,f,mustela africana carnivora mustelidae,Mustela africana (Carnivora: Mustelidae),NA,2014,2014-12-18,NA,American Society of Mammologists,NA,NA,46,917,110,115,14,3,3,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/917.1,https://academic.oup.com/mspecies/article-pdf/46/917/110/8269248/46-917-110.pdf,publishedVersion,10.1644/917.1,NA,2021-11-03 23:47:31.356428
162791694,2272090853,23188,NA,Journal,NA,NA,mammalian species no 664 reithrodon auritus,Mammalian species No. 664: Reithrodon auritus,NA,2001,2001-01-01,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,Mammalian Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
